French,English
histoire,history
police,police
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
type,type
leurs,their
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
boulot,job
arrêter,Stop
terre,Earth
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
